Title	Dathub URL	Last Updated	Domain
DBkWik	https://old.datahub.io/dataset/dbkwik	2017-07-28	Cross_domain
Gemeinsame Normdatei (GND)	https://old.datahub.io/dataset/dnb-gemeinsame-normdatei	2017-07-21	Cross_domain
Muninn World War I	https://old.datahub.io/dataset/muninn-world-war-i	2017-06-22	Cross_domain
DBpedia	https://old.datahub.io/dataset/dbpedia	2017-06-20	Cross_domain
Imagesnippets Image Descriptions	https://old.datahub.io/dataset/imagesnippets	2017-06-14	Cross_domain
WebIsALOD	https://old.datahub.io/dataset/webisalod	2017-06-14	Cross_domain
Enipedia - Energy Industry Data	https://old.datahub.io/dataset/enipedia	2016-07-30	Cross_domain
Uberblic.org	https://old.datahub.io/dataset/uberblic	2016-07-30	Cross_domain
Alpine Ski Racers of Austria	https://old.datahub.io/dataset/austrian_ski_racers	2016-07-30	Cross_domain
YAGO	https://old.datahub.io/dataset/yago	2016-07-30	Cross_domain
Linked Open Vocabularies (LOV)	https://old.datahub.io/dataset/linked-open-vocabularies-lov	2016-07-30	Cross_domain
OpenCalais	https://old.datahub.io/dataset/opencalais	2016-07-30	Cross_domain
Linked Open Numbers	https://old.datahub.io/dataset/linked-open-numbers	2016-07-30	Cross_domain
iServe: Linked Services Registry	https://old.datahub.io/dataset/iserve	2016-07-30	Cross_domain
ProductDB	https://old.datahub.io/dataset/productdb	2016-07-30	Cross_domain
dbpedia lite	https://old.datahub.io/dataset/dbpedia-lite	2016-07-30	Cross_domain
Educational programs - SISVU	https://old.datahub.io/dataset/educationalprograms_sisvu	2016-07-30	Cross_domain
DBpedia in Greek	https://old.datahub.io/dataset/dbpedia-el	2016-07-30	Cross_domain
Italian Museums	https://old.datahub.io/dataset/museums-in-italy	2016-07-30	Cross_domain
mEducator: Linked Educational Resources	https://old.datahub.io/dataset/meducator	2016-07-30	Cross_domain
URIBurner	https://old.datahub.io/dataset/uriburner	2016-07-30	Cross_domain
